 _______________________________________________________________
|N 	 | Solutions			| Time (seg)	| (FF, LUT, LUTRAM)	|
|____|______________________|_______________|___________________|
|5	 | 10 					| 	0.061923 	| ( 782, 839, 98)	|
|6	 | 4 					| 	0.064429	| ( 838, 957,116)	|
|7	 | 40 					| 	0.065487	| ( 900,1071,136)	|
|8	 | 92 					| 	0.066274	| ( 964,1180,160)	|
|9	 | 352 					| 	0.069968	| (1036,1308,188)	|
|10  | 724 					| 	0.070077	| (1113,1444,220)	|
|11	 | 2680 				| 	0.120131	| (1195,1575,254)	|
|12	 | 14200 				| 	0.174211	| (1281,1694,292)	|
|13	 | 73712 				| 	0.798081	| (1374,1891,332)	|
|14	 | 365596 				| 	4.380318	| (1405,1936,332)	|
|15	 | 2279184 				| 	32.22904	| (1438,2054,332)	|
|16	 | 14772512 			| 	219.4207	| (1469,2164,332)	|
|17	 | 95815104 			| 	1863.920	| (1611,2898,214)	| *
|18	 | 666090624 			| 	13768.37	| (1665,3092,214)	|
|19	 | 4968057848 			| 				| (,,)				|
|20	 | 39029188884 			| 				| (,,)				|
|21	 | 314666222712 		| 				| (,,)				|
|22	 | 2691008701644 		| 				| (,,)				|
|23	 | 24233937684440 		| 				| (,,)				|
|24	 | 227514171973736 		| 				| (,,)				|
|25	 | 2207893435808352 	| 				| (,,)				|
|26	 | 22317699616364044 	| 				| (,,)				|
|27	 | 234907967154122528 	| 				| (,,)				|
|____|______________________|_______________|___________________|
