Time Done Counter ack_out a_out_h a_out_l
1 0 0 1 0 0
15277 0 0 0 9218131 212933924
15279 0 2 1 0 0
25819 0 2 0 9218626 3301123300
25821 0 4 1 0 0
26061 0 4 0 9218626 3301155974
26063 0 6 1 0 0
31123 0 6 0 9218882 2554404134
31125 0 8 1 0 0
48371 0 8 0 9226329 1487019298
48373 0 10 1 0 0
69773 0 10 0 9227081 413211816
69775 0 12 1 0 0
71571 0 12 0 9227083 170007880
71573 0 14 1 0 0
75683 0 14 0 9227344 2522091815
75685 0 16 1 0 0
103117 0 16 0 9235219 341976232
103119 0 18 1 0 0
117761 0 18 0 9241163 341153927
117763 0 20 1 0 0
124739 0 20 0 9242187 339973195
124741 0 22 1 0 0
124949 0 22 0 9242187 341018763
124951 0 24 1 0 0
126457 0 24 0 9242202 1254235458
126459 0 26 1 0 0
133559 0 26 0 9243192 2522227908
133561 0 28 1 0 0
145703 0 28 0 9243449 348300358
145705 0 30 1 0 0
149107 0 30 0 9243465 212207783
149109 0 32 1 0 0
157121 0 32 0 9243720 2326928710
157123 0 34 1 0 0
167259 0 34 0 9250370 3368260930
167261 0 36 1 0 0
173837 0 36 0 9250594 2555748546
173839 0 38 1 0 0
174807 0 38 0 9250640 2523017477
174809 0 40 1 0 0
180559 0 40 0 9251601 1487114440
180561 0 42 1 0 0
185073 0 42 0 9251649 79863110
185075 0 44 1 0 0
205671 0 44 0 9258570 3363178664
205673 0 46 1 0 0
213837 0 46 0 9258786 3535964422
213839 0 48 1 0 0
229519 0 48 0 9260088 2293503270
229521 0 50 1 0 0
231089 0 50 0 9260090 1210228939
231091 0 52 1 0 0
249493 0 52 0 9266962 2554598694
249495 0 54 1 0 0
255501 0 54 0 9267041 77800616
255503 0 56 1 0 0
261451 0 56 0 9267235 340859175
261453 0 58 1 0 0
268289 0 58 0 9267488 2495815847
268291 0 60 1 0 0
268521 0 60 0 9267488 2495845638
268523 0 62 1 0 0
270409 0 62 0 9267513 348198150
270411 0 64 1 0 0
298629 0 64 0 9275706 2283970763
298631 0 66 1 0 0
305323 0 66 0 9275961 374416584
305325 0 68 1 0 0
306709 0 68 0 9275969 1444944167
306711 0 68 1 0 0
306863 0 68 0 9275969 1444945188
306865 0 68 1 0 0
335115 0 68 0 9456450 2553453862
335117 0 70 1 0 0
351241 0 70 0 9488467 105983271
351243 0 72 1 0 0
359383 0 72 0 9488738 2322672744
359385 0 74 1 0 0
373211 0 74 0 9489225 3627288746
373213 0 76 1 0 0
374713 0 76 0 9489227 171252808
374715 0 78 1 0 0
378683 0 78 0 9489482 3327205703
378685 0 80 1 0 0
394543 0 80 0 9496851 280074565
394545 0 82 1 0 0
399427 0 82 0 9496920 3563132296
399429 0 84 1 0 0
402129 0 84 0 9496928 3501361478
402131 0 86 1 0 0
406909 0 86 0 9497114 1481714888
406911 0 88 1 0 0
411259 0 88 0 9497152 2553490725
411261 0 90 1 0 0
415489 0 90 0 9497185 1353816137
415491 0 92 1 0 0
420253 0 92 0 9497408 3633482054
420255 0 94 1 0 0
437495 0 94 0 9503578 1254431814
437497 0 96 1 0 0
449621 0 96 0 9505298 1287761125
449623 0 98 1 0 0
470397 0 98 0 9505865 3333622085
470399 0 100 1 0 0
474183 0 100 0 9511746 2552442085
474185 0 102 1 0 0
476227 0 102 0 9511761 3592820997
476229 0 104 1 0 0
491111 0 104 0 9512722 3435471011
491113 0 106 1 0 0
491367 0 106 0 9512722 3502411078
491369 0 108 1 0 0
496365 0 108 0 9512800 3596948552
496367 0 110 1 0 0
496791 0 110 0 9512802 2351082755
496793 0 112 1 0 0
503737 0 112 0 9513776 3569524807
503739 0 114 1 0 0
507057 0 114 0 9513793 1153768550
507059 0 116 1 0 0
515229 0 116 0 9514034 3295841546
515231 0 118 1 0 0
534271 0 118 0 9520458 3329624326
534273 0 120 1 0 0
536175 0 120 0 9520472 2557583561
536177 0 122 1 0 0
550649 0 122 0 9521203 78814499
550651 0 124 1 0 0
561927 0 124 0 9522248 3396414664
561929 0 126 1 0 0
610421 0 126 0 9529650 2255882501
610423 0 128 1 0 0
631337 0 128 0 9537625 1147473129
631339 0 130 1 0 0
655769 0 130 0 9717843 144021607
655771 0 132 1 0 0
664053 0 132 0 9718106 113581190
664055 0 134 1 0 0
672001 0 134 0 9718322 3535904903
672003 0 136 1 0 0
705955 0 136 0 9759064 3493933382
705957 0 138 1 0 0
712773 0 138 0 9759266 3526560136
712775 0 140 1 0 0
713629 0 140 0 9759328 2352324745
713631 0 142 1 0 0
714719 0 142 0 9759328 3494224966
714721 0 144 1 0 0
715629 0 144 0 9759514 412223814
715631 0 146 1 0 0
718643 0 146 0 9759522 412194890
718645 0 148 1 0 0
719993 0 148 0 9759536 2560888100
719995 0 150 1 0 0
725915 0 150 0 9759794 3298927752
725917 0 152 1 0 0
739353 0 152 0 9766489 3301024906
739355 0 154 1 0 0
739563 0 154 0 9766496 2524253476
739565 0 156 1 0 0
750295 0 156 0 9767521 376543305
750297 0 158 1 0 0
753407 0 158 0 9767712 2462391398
753409 0 160 1 0 0
756209 0 160 0 9767737 80025705
756211 0 162 1 0 0
757077 0 162 0 9767752 2359401860
757079 0 164 1 0 0
757425 0 164 0 9767752 3424989412
757427 0 166 1 0 0
764521 0 166 0 9767993 378735938
764523 0 168 1 0 0
765017 0 168 0 9768008 2359405703
765019 0 170 1 0 0
776459 0 170 0 9773665 3593670984
776461 0 172 1 0 0
777921 0 172 0 9773666 2255629574
777923 0 174 1 0 0
780379 0 174 0 9774618 3502313799
780381 0 176 1 0 0
782067 0 176 0 9774672 2294557799
782069 0 178 1 0 0
784707 0 178 0 9774688 3597996104
784709 0 180 1 0 0
786801 0 180 0 9775897 3634434248
786803 0 182 1 0 0
791293 0 182 0 9775906 113581126
791295 0 184 1 0 0
793713 0 184 0 9775920 3634597952
793715 0 184 1 0 0
793863 0 184 0 9775920 3634597960
793865 0 186 1 0 0
794075 0 186 0 9775920 3634597960
794077 0 186 1 0 0
795589 0 186 0 9775922 2552372328
795591 0 188 1 0 0
804381 0 188 0 9776178 371334467
804383 0 190 1 0 0
817895 0 190 0 9781835 141667528
817897 0 192 1 0 0
821821 0 192 0 9782810 3502313705
821823 0 194 1 0 0
821945 0 194 0 9782810 3502318820
821947 0 196 1 0 0
828121 0 196 0 9782858 3295781252
828123 0 198 1 0 0
828885 0 198 0 9782859 71544067
828887 0 200 1 0 0
829293 0 200 0 9782859 74558724
829295 0 202 1 0 0
838465 0 202 0 9783331 304295015
838467 0 204 1 0 0
884583 0 204 0 9791520 2560855241
884585 0 206 1 0 0
885763 0 206 0 9791521 3634436387
885765 0 208 1 0 0
887815 0 208 0 9791536 2560761123
887817 0 210 1 0 0
889637 0 210 0 9791539 304225603
889639 0 212 1 0 0
890881 0 212 0 9791568 3432067300
890883 0 214 1 0 0
893635 0 214 0 9791584 2289372454
893637 0 216 1 0 0
901063 0 216 0 9791771 141887688
901065 0 218 1 0 0
904693 0 218 0 9791800 2294620355
904695 0 220 1 0 0
914823 0 220 0 9798233 3366036680
914825 0 222 1 0 0
918643 0 222 0 9799256 2291245383
918645 0 224 1 0 0
