=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.10.20 18:57:10 =~=~=~=~=~=~=~=~=~=~=~=
Time Done Counter ack_out a_out_2 a_out_1 a_out_0
1 0 0 1 0 0 0
10089 0 0 0 0 294930786 2588090727
10091 0 2 1 0 0 0
26529 0 2 0 0 294971739 1145250124
26531 0 4 1 0 0 0
36499 0 4 0 0 294972499 1279336809
36501 0 6 1 0 0 0
83157 0 6 0 0 294989137 247535883
83159 0 8 1 0 0 0
85995 0 8 0 0 294994507 148117863
85997 0 10 1 0 0 0
94257 0 10 0 0 294996057 80946412
94259 0 12 1 0 0 0
95421 0 12 0 0 294996073 410065257
95423 0 14 1 0 0 0
105587 0 14 0 0 294997321 411240683
105589 0 16 1 0 0 0
117655 0 16 0 0 295003234 2228429832
117657 0 16 1 0 0 0
123865 0 16 0 0 295004513 74885382
123867 0 18 1 0 0 0
124851 0 18 0 0 295004513 444795207
124853 0 20 1 0 0 0
125399 0 20 0 0 295004513 2284233031
125401 0 22 1 0 0 0
143457 0 22 0 0 295012697 2284233031
143459 0 24 1 0 0 0
146393 0 24 0 0 295012714 2288257383
146395 0 26 1 0 0 0
158709 0 26 0 0 295020897 2523992330
158711 0 28 1 0 0 0
162675 0 28 0 0 295021385 2552372552
162677 0 30 1 0 0 0
188243 0 30 0 0 295242283 1145445675
188245 0 32 1 0 0 0
209559 0 32 0 0 295249761 80914699
209561 0 34 1 0 0 0
212449 0 34 0 0 295250705 1484928234
212451 0 36 1 0 0 0
242493 0 36 0 0 295259154 1255412071
242495 0 38 1 0 0 0
244271 0 38 0 0 295259170 1255218536
244273 0 40 1 0 0 0
244903 0 40 0 0 295259170 1512218983
244905 0 42 1 0 0 0
283371 0 42 0 0 295267649 410069161
283373 0 44 1 0 0 0
284205 0 44 0 0 295267649 1478731913
284207 0 46 1 0 0 0
298297 0 46 0 0 295274331 1146392904
298299 0 48 1 0 0 0
309527 0 48 0 0 295275042 3397465321
309529 0 50 1 0 0 0
310681 0 50 0 0 295275073 81042603
310683 0 52 1 0 0 0
312947 0 52 0 0 295275075 1145347243
312949 0 54 1 0 0 0
321883 0 54 0 0 295282515 170009960
321885 0 56 1 0 0 0
326995 0 56 0 0 295283041 246486344
326997 0 58 1 0 0 0
383007 0 58 0 0 295512937 1411520780
383009 0 60 1 0 0 0
383441 0 60 0 0 295512937 1422006530
383443 0 62 1 0 0 0
390615 0 62 0 0 295513155 1210230987
390617 0 64 1 0 0 0
393417 0 64 0 0 295513362 2360516748
393419 0 66 1 0 0 0
404439 0 66 0 0 295519338 1254168843
404441 0 68 1 0 0 0
408027 0 68 0 0 295520360 2288395621
408029 0 70 1 0 0 0
411349 0 70 0 0 295521320 2523149449
411351 0 72 1 0 0 0
413541 0 72 0 0 295521322 1514217675
413543 0 74 1 0 0 0
428751 0 74 0 0 295526979 1220843845
428753 0 76 1 0 0 0
437717 0 76 0 0 295528545 1512347786
437719 0 78 1 0 0 0
461259 0 78 0 0 295536657 448043333
461261 0 80 1 0 0 0
462561 0 80 0 0 295536657 1521782986
462563 0 82 1 0 0 0
464349 0 82 0 0 295536728 2288301381
464351 0 84 1 0 0 0
469541 0 84 0 0 295536745 212936873
469543 0 86 1 0 0 0
470565 0 86 0 0 295536745 1411520873
470567 0 88 1 0 0 0
503531 0 88 0 0 295545667 136488138
503533 0 90 1 0 0 0
510317 0 90 0 0 295716691 1254234473
510319 0 92 1 0 0 0
523049 0 92 0 0 295718225 2522222887
523051 0 94 1 0 0 0
535975 0 94 0 0 295749907 1447269708
535977 0 96 1 0 0 0
541291 0 96 0 0 295750418 2329027820
541293 0 98 1 0 0 0
543867 0 98 0 0 295750504 2395088042
543869 0 100 1 0 0 0
544657 0 100 0 0 295750505 1480829001
544659 0 102 1 0 0 0
552897 0 102 0 0 295750984 2555619467
552899 0 104 1 0 0 0
566047 0 104 0 0 295781482 1482759339
566049 0 106 1 0 0 0
571365 0 106 0 0 295782248 2328044900
571367 0 108 1 0 0 0
572009 0 108 0 0 295782250 3292734636
572011 0 110 1 0 0 0
574353 0 110 0 0 295783442 3460732198
574355 0 112 1 0 0 0
575717 0 112 0 0 295783456 2394330406
575719 0 114 1 0 0 0
577051 0 114 0 0 295783458 1255218534
577053 0 116 1 0 0 0
584491 0 116 0 0 295783714 1254168935
584493 0 118 1 0 0 0
591121 0 118 0 0 295789154 1279699111
591123 0 120 1 0 0 0
610875 0 120 0 0 295790867 1249257668
610877 0 122 1 0 0 0
623465 0 122 0 0 295791953 2220238052
623467 0 124 1 0 0 0
630939 0 124 0 0 295797834 3293820230
630941 0 126 1 0 0 0
633651 0 126 0 0 295798545 2530354346
633653 0 128 1 0 0 0
634133 0 128 0 0 295798546 2329027942
634135 0 130 1 0 0 0
634459 0 130 0 0 295798546 2329186507
634461 0 132 1 0 0 0
647267 0 132 0 0 295799145 2226298180
647269 0 134 1 0 0 0
647543 0 134 0 0 295799145 2226360645
647545 0 136 1 0 0 0
665959 0 136 0 0 295806800 2327979366
665961 0 138 1 0 0 0
666305 0 138 0 0 295806800 2328137931
666307 0 140 1 0 0 0
669641 0 140 0 0 295807249 1449535623
669643 0 142 1 0 0 0
673917 0 142 0 0 295807329 1152585962
673919 0 144 1 0 0 0
685361 0 144 0 0 295979089 441850215
685363 0 146 1 0 0 0
687605 0 146 0 0 295979114 3461748874
687607 0 148 1 0 0 0
691263 0 148 0 0 295980097 2530385034
691265 0 150 1 0 0 0
708973 0 150 0 0 296011880 2555619467
708975 0 152 1 0 0 0
710671 0 152 0 0 296012305 411473131
710673 0 154 1 0 0 0
718983 0 154 0 0 296012842 3664906506
718985 0 156 1 0 0 0
719833 0 156 0 0 296012880 2589200743
