=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.11.02 18:38:43 =~=~=~=~=~=~=~=~=~=~=~=
13-queens problem:
Solutions: 0.  
Solutions: 0.  
Solutions: 0.  
Solutions: 10.  
Solutions: 58.  
Solutions: 132.  
Solutions: 202.  
Solutions: 268.  
Solutions: 310.  
Solutions: 382.  
Solutions: 442.  
Solutions: 554.  
Solutions: 648.  
Solutions: 740.  
Solutions: 782.  
Solutions: 846.  
Solutions: 968.  
Solutions: 1106.  
Solutions: 1206.  
Solutions: 1296.  
Solutions: 1390.  
Solutions: 1552.  
Solutions: 1742.  
Solutions: 1908.  
Solutions: 1986.  
Solutions: 2054.  
Solutions: 2154.  
Solutions: 2286.  
Solutions: 2490.  
Solutions: 2578.  
Solutions: 2662.  
Solutions: 2808.  
Solutions: 2982.  
Solutions: 3110.  
Solutions: 3238.  
Solutions: 3332.  
Solutions: 3458.  
Solutions: 3648.  
Solutions: 3836.  
Solutions: 3920.  
Solutions: 4018.  
Solutions: 4138.  
Solutions: 4312.  
Solutions: 4462.  
Solutions: 4596.  
Solutions: 4628.  
Solutions: 4690.  
Solutions: 4784.  
Solutions: 4880.  
Solutions: 4982.  
Solutions: 5022.  
Solutions: 5082.  
Solutions: 5172.  
Solutions: 5292.  
Solutions: 5380.  
Solutions: 5434.  
Solutions: 5460.  
Solutions: 5496.  
Solutions: 5518.  
Solutions: 5574.  
Solutions: 5702.  
Solutions: 5878.  
Solutions: 6010.  
Solutions: 6146.  
Solutions: 6240.  
Solutions: 6298.  
Solutions: 6436.  
Solutions: 6562.  
Solutions: 6718.  
Solutions: 6818.  
Solutions: 6912.  
Solutions: 6988.  
Solutions: 7070.  
Solutions: 7258.  
Solutions: 7472.  
Solutions: 7666.  
Solutions: 7806.  
Solutions: 7890.  
Solutions: 8002.  
Solutions: 8202.  
Solutions: 8420.  
Solutions: 8596.  
Solutions: 8792.  
Solutions: 8894.  
Solutions: 9004.  
Solutions: 9198.  
Solutions: 9384.  
Solutions: 9504.  
Solutions: 9666.  
Solutions: 9798.  
Solutions: 9864.  
Solutions: 9966.  
Solutions: 10110.  
Solutions: 10302.  
Solutions: 10462.  
Solutions: 10566.  
Solutions: 10632.  
Solutions: 10764.  
Solutions: 10920.  
Solutions: 11168.  
Solutions: 11394.  
Solutions: 11506.  
Solutions: 11596.  
Solutions: 11650.  
Solutions: 11802.  
Solutions: 11962.  
Solutions: 12066.  
Solutions: 12176.  
Solutions: 12274.  
Solutions: 12296.  
Solutions: 12398.  
Solutions: 12508.  
Solutions: 12616.  
Solutions: 12712.  
Solutions: 12800.  
Solutions: 12882.  
Solutions: 12976.  
Solutions: 13040.  
Solutions: 13094.  
Solutions: 13138.  
Solutions: 13212.  
Solutions: 13276.  
Solutions: 13370.  
Solutions: 13432.  
Solutions: 13470.  
Solutions: 13658.  
Solutions: 13886.  
Solutions: 14144.  
Solutions: 14368.  
Solutions: 14504.  
Solutions: 14658.  
Solutions: 14816.  
Solutions: 15056.  
Solutions: 15262.  
Solutions: 15468.  
Solutions: 15666.  
Solutions: 15844.  
Solutions: 15974.  
Solutions: 16158.  
Solutions: 16406.  
Solutions: 16604.  
Solutions: 16830.  
Solutions: 17012.  
Solutions: 17184.  
Solutions: 17350.  
Solutions: 17690.  
Solutions: 17998.  
Solutions: 18304.  
Solutions: 18526.  
Solutions: 18802.  
Solutions: 18974.  
Solutions: 19136.  
Solutions: 19440.  
Solutions: 19716.  
Solutions: 19882.  
Solutions: 20018.  
Solutions: 20184.  
Solutions: 20282.  
Solutions: 20468.  
Solutions: 20700.  
Solutions: 21048.  
Solutions: 21260.  
Solutions: 21394.  
Solutions: 21516.  
Solutions: 21594.  
Solutions: 21722.  
Solutions: 21938.  
Solutions: 22128.  
Solutions: 22330.  
Solutions: 22528.  
Solutions: 22640.  
Solutions: 22706.  
Solutions: 22862.  
Solutions: 23008.  
Solutions: 23204.  
Solutions: 23320.  
Solutions: 23454.  
Solutions: 23574.  
Solutions: 23620.  
Solutions: 23742.  
Solutions: 23916.  
Solutions: 24020.  
Solutions: 24092.  
Solutions: 24162.  
Solutions: 24236.  
Solutions: 24340.  
Solutions: 24466.  
Solutions: 24574.  
Solutions: 24664.  
Solutions: 24708.  
Solutions: 24852.  
Solutions: 24960.  
Solutions: 25100.  
Solutions: 25210.  
Solutions: 25312.  
Solutions: 25398.  
Solutions: 25552.  
Solutions: 25826.  
Solutions: 26102.  
Solutions: 26412.  
Solutions: 26618.  
Solutions: 26856.  
Solutions: 26986.  
Solutions: 27216.  
Solutions: 27502.  
Solutions: 27798.  
Solutions: 28050.  
Solutions: 28272.  
Solutions: 28434.  
Solutions: 28630.  
Solutions: 28902.  
Solutions: 29200.  
Solutions: 29456.  
Solutions: 29672.  
Solutions: 29926.  
Solutions: 30178.  
Solutions: 30362.  
Solutions: 30626.  
Solutions: 30934.  
Solutions: 31234.  
Solutions: 31424.  
Solutions: 31632.  
Solutions: 31830.  
Solutions: 32000.  
Solutions: 32222.  
Solutions: 32502.  
Solutions: 32750.  
Solutions: 32882.  
Solutions: 33040.  
Solutions: 33172.  
Solutions: 33298.  
Solutions: 33476.  
Solutions: 33684.  
Solutions: 33882.  
Solutions: 34092.  
Solutions: 34160.  
Solutions: 34252.  
Solutions: 34434.  
Solutions: 34634.  
Solutions: 34832.  
Solutions: 35030.  
Solutions: 35206.  
Solutions: 35308.  
Solutions: 35384.  
Solutions: 35616.  
Solutions: 35836.  
Solutions: 36004.  
Solutions: 36110.  
Solutions: 36210.  
Solutions: 36316.  
Solutions: 36514.  
Solutions: 36736.  
Solutions: 36880.  
Solutions: 36988.  
Solutions: 37050.  
Solutions: 37186.  
Solutions: 37370.  
Solutions: 37530.  
Solutions: 37718.  
Solutions: 37866.  
Solutions: 37974.  
Solutions: 38070.  
Solutions: 38138.  
Solutions: 38386.  
Solutions: 38622.  
Solutions: 38820.  
Solutions: 38974.  
Solutions: 39138.  
Solutions: 39302.  
Solutions: 39520.  
Solutions: 39910.  
Solutions: 40338.  
Solutions: 40698.  
Solutions: 40996.  
Solutions: 41272.  
Solutions: 41460.  
Solutions: 41692.  
